Psalter,Psalter Book,Psalm,Subtitle,Version,Meter
1650 Psalter,Book 1 (Psalm 1-41),1,,First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),2,,First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),3,"A Psalm of David, when he fled from Absalom his son.",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),4,"To the chief Musician on Neginoth, A Psalm of David.",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),5,"To the chief Musician, upon Nehiloth, A Psalm of David.",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),6,"To the chief Musician on Neginoth upon Sheminith, A Psalm of David.",First & Second,"8,8,8,8; 8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),7,"Shiggaion of David, which he sang unto the Lord, concerning the words of Cush the Benjamite",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),8,"To the chief Musician upon Gittith, A Psalm of David.",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),9,"To the chief Musician upon Muth-labben, A Psalm of David",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),10,,First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),11,"To the chief Musician, A Psalm of David.",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),12,"To the chief Musician upon Sheminith, A Psalm of David.",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),13,"To the chief Musician, A Psalm of David.",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),14,"To the chief Musician, A Psalm of David.",First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),15,A Psalm of David.,First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),16,Michtam of David.,First,"8,6,8,6"
1650 Psalter,Book 1 (Psalm 1-41),17,,First,"8,6,8,6"
