Psalter,Psalter Book,Psalm,Version,Meter,Canto,CantoID,Paragraph,StanzaQuartrain,LineIndent,LineNum,VerseNum,SpanText
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:1-2,1,1,1,N,1,1,"That man hath perfect blessedness,"
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:1-2,1,1,1,Y,2,1,who walketh not astray
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:1-2,1,1,1,N,3,1,"In counsel of ungodly men,"
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:1-2,1,1,1,Y,4,1,"nor stands in sinners' way,"
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:1-2,1,1,2,N,5,1,Nor sitteth in the scorner's chair:
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:1-2,1,1,2,Y,6,2,But placeth his delight
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:1-2,1,1,2,N,7,2,"Upon God's law, and meditates"
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:1-2,1,1,2,Y,8,2,on his law day and night.
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,2,3,N,9,3,He shall be like a tree that grows
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,2,3,Y,10,3,"near planted by a river,"
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,2,3,N,11,3,"Which in his season yields his fruit,"
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,2,3,Y,12,3,and his leaf fadeth never:
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,2,4,N,13,3,And all he doth shall prosper well.
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,2,4,Y,14,4,The wicked are not so;
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,2,4,N,15,4,"But like they are unto the chaff,"
